vectorizer,dim_reduction,n_comp,K,collapsed,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords,rank_SIL,rank_CHI,rank_DBI,rank_CV,rank_NPMI,rank_total
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,4,False,FCM,406.2323913574219,0.9171802337114622,0.5769352316856384,0.7399440378668225,-0.2129116021708085,"{0: ['fluid dynamic cfd', 'reduced order model', 'reduce order model', 'traffic capacity'], 1: ['surrogate model', 'fluid dynamic cfd', 'data driven', 'high fidelity'], 2: ['transport noise', 'stochastic transport', 'stochastic flow', 'transport equation'], 3: ['global posedness', 'sobolev space', 'boundary layer', 'existence solution']}",32.0,12.0,35.0,2.0,36.0,117.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,4,False,FCM,377.5399169921875,0.907755753879903,0.5863632559776306,0.6374805708937108,-0.2611160851592519,"{0: ['fluid dynamic cfd', 'reduce order model', 'traffic capacity', 'reduced order model'], 1: ['surrogate model', 'data driven', 'fluid dynamic cfd', 'machine learning'], 2: ['transport noise', 'stochastic transport', 'invariant measure', 'stochastic flow'], 3: ['global posedness', 'sobolev space', 'boundary layer', 'existence solution']}",22.0,18.0,30.0,8.0,99.0,177.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,4,False,Agglomerative,362.88824462890625,0.8211607195478774,0.5448210835456848,0.6972086712827336,-0.2560907950569944,"{0: ['fluid dynamic cfd', 'reduce order model', 'reduced order model', 'data driven'], 1: ['initial data', 'global posedness', 'sobolev space', 'boundary layer'], 2: ['transport noise', 'stochastic transport', 'stochastic flow', 'slow component'], 3: ['surrogate model', 'tensor train', 'high fidelity', 'machine learning']}",66.0,32.0,5.0,4.0,86.0,193.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,4,False,KMeans,409.91912841796875,0.8660446184815012,0.5850934386253357,0.531999819423164,-0.2659163466289609,"{0: ['fluid dynamic cfd', 'reduce order model', 'reduced order model', 'computational efficiency'], 1: ['initial data', 'global posedness', 'sobolev space', 'boundary layer'], 2: ['surrogate model', 'data driven', 'fluid dynamic cfd', 'tensor train'], 3: ['transport noise', 'stochastic transport', 'stochastic flow', 'martingale solution']}",24.0,11.0,16.0,31.0,113.0,195.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,5,False,Agglomerative,325.86822509765625,0.8342049184167053,0.524505615234375,0.5684462010311276,-0.23795694943574705,"{0: ['fluid dynamic cfd', 'reduce order model', 'finite volume', 'reynolds number'], 1: ['initial data', 'sobolev space', 'global posedness', 'boundary layer'], 2: ['surrogate model', 'tensor train', 'high fidelity', 'machine learning'], 3: ['transport noise', 'stochastic transport', 'stochastic flow', 'martingale solution'], 4: ['navier stokes cahn', 'stokes cahn hilliard', 'phase field model', 'cahn hilliard type']}",85.0,51.0,7.0,15.0,59.0,217.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,6,False,Agglomerative,308.2518310546875,0.9147126991668788,0.5519855618476868,0.5603644601208543,-0.2293776324838479,"{0: ['computational fluid dynamic', 'finite element method', 'fluid dynamic cfd', 'reduce order model'], 1: ['burger equation', 'phase flow', 'porous medium', 'entropy stable'], 2: ['initial data', 'sobolev space', 'global posedness', 'surface tension'], 3: ['computational fluid dynamic', 'surrogate model', 'tensor train', 'high fidelity'], 4: ['data assimilation', 'enhanced diffusion', 'srsw model', 'fluctuate hydrodynamics'], 5: ['transport noise', 'stochastic flow', 'stochastic transport', 'fluid flow']}",58.0,76.0,33.0,17.0,50.0,234.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,6,False,FCM,365.367919921875,0.9085075313184282,0.5775585770606995,0.461107140177543,-0.25052346558547284,"{0: ['traffic capacity', 'blood flow', 'open source', 'fluid dynamic cfd'], 1: ['surrogate model', 'tensor train', 'high fidelity', 'machine learning'], 2: ['transport noise', 'euler equation', 'stochastic flow', 'stochastic transport'], 3: ['phase field', 'cahn hilliard', 'runge kutta', 'porous medium'], 4: ['euler equation', 'initial data', 'sobolev space', 'global posedness'], 5: ['reduce order model', 'proper orthogonal decomposition', 'data driven', 'shape optimization']}",31.0,30.0,31.0,99.0,74.0,265.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,5,False,FCM,381.3826904296875,1.0390864807857252,0.5105043649673462,0.6369513839094484,-0.2459147550469823,"{0: ['fluid dynamic cfd', 'reduce order model', 'non intrusive', 'reduced order model'], 1: ['surrogate model', 'tensor train', 'high fidelity', 'machine learning'], 2: ['phase field', 'interior penalty galerkin', 'discontinuous galerkin', 'numerical solution'], 3: ['transport noise', 'stochastic transport', 'stochastic flow', 'transport equation'], 4: ['sobolev space', 'global posedness', 'prandtl equation', 'surface tension']}",90.0,15.0,84.0,9.0,68.0,266.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,5,False,KMeans,390.6894226074219,0.9672213397113953,0.5510761737823486,0.4710819615722094,-0.25338395507180494,"{0: ['fluid dynamic cfd', 'reduce order model', 'traffic capacity', 'reduced order model'], 1: ['sobolev space', 'global posedness', 'surface tension', 'prandtl equation'], 2: ['surrogate model', 'data driven', 'fluid dynamic cfd', 'tensor train'], 3: ['transport noise', 'stochastic flow', 'stochastic transport', 'martingale solution'], 4: ['interior penalty galerkin', 'phase flow', 'entropy stable', 'stokes cahn hilliard']}",60.0,13.0,48.0,85.0,79.0,285.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,7,False,Agglomerative,313.0590515136719,0.957823769713959,0.5571439862251282,0.45772971434227255,-0.21755096804792445,"{0: ['euler equation', 'initial data', 'sobolev space', 'global posedness'], 1: ['traffic capacity', 'blood flow', 'open source', 'fluid dynamic cfd'], 2: ['reduce order model', 'non intrusive', 'proper orthogonal decomposition', 'model reduction'], 3: ['transport noise', 'euler equation', 'stochastic flow', 'stochastic transport'], 4: ['navier stokes cahn', 'stokes cahn hilliard', 'model phase', 'cahn hilliard type'], 5: ['surrogate model', 'tensor train', 'machine learning', 'high fidelity'], 6: ['interior penalty galerkin', 'finite element space', 'compatible finite element', 'active fluid']}",49.0,61.0,46.0,104.0,40.0,300.0
